2,retail,10,tienda-A,casa-A,2,2020.10.19 01:13:42
4,retail,12,tienda-B,casa-B,1,2020.10.19 01:13:48
8,retail,95,tienda-A,casa-D,1,2020.10.19 01:13:55
9,prioritario,8,pyme,casa-E,1,0
13,retail,15,tienda-C,casa-A,1,2020.10.19 01:14:06
15,retail,20,tienda-B,casa-C,1,2020.10.19 01:14:11
20,retail,20,tienda-A,casa-F,1,2020.10.19 01:14:22
23,prioritario,115,pyme,casa-I,3,2020.10.19 01:14:32
27,retail,15,tienda-A,casa-N,2,2020.10.19 01:14:39
31,retail,80,tienda-B,casa-A,1,2020.10.19 01:14:47
33,retail,50,tienda-C,casa-C,2,2020.10.19 01:14:56
34,prioritario,15,pyme,casa-Z,2,2020.10.19 01:14:58
38,retail,30,tienda-A,casa-A,1,2020.10.19 01:15:03
40,retail,105,tienda-C,casa-C,1,2020.10.19 01:15:08
45,retail,115,tienda-B,casa-A,2,2020.10.19 01:15:19
